UnderwrittenCoverID,PolicyID,TransactionMonth,IsVATRegistered,Citizenship,LegalType,Title,Language,Bank,AccountType,MaritalStatus,Gender,Country,Province,PostalCode,MainCrestaZone,SubCrestaZone,ItemType,mmcode,VehicleType,RegistrationYear,make,Model,Cylinders,cubiccapacity,kilowatts,bodytype,NumberOfDoors,VehicleIntroDate,CustomValueEstimate,AlarmImmobiliser,TrackingDevice,CapitalOutstanding,NewVehicle,WrittenOff,Rebuilt,Converted,CrossBorder,NumberOfVehiclesInFleet,SumInsured,TermFrequency,CalculatedPremiumPerTerm,ExcessSelected,CoverCategory,CoverType,CoverGroup,Section,Product,StatutoryClass,StatutoryRiskType,TotalPremium,TotalClaims,LossRatio
75472,5785,2015-01-01,False,  ,Individual,Miss,English,Nedbank,Current account,Not specified,Not specified,South Africa,Gauteng,139,Transvaal (Pretoria),Pretoria,Mobility - Motor,60058415.0,Passenger Vehicle,2008,TOYOTA,QUANTUM 2.7 SESFIKILE 14s,4.0,2694.0,111.0,B/S,4.0,11/2007,,Yes,No,0,More than 6 months,,,,,,138900.0,Monthly,574.3253,Mobility - Taxi with value more than R100 000 - R5 000,Own Damage ,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,503.794122807018,14867.5,29.511062807088567
75466,5785,2015-01-01,False,  ,Individual,Miss,English,Nedbank,Current account,Not specified,Not specified,South Africa,Gauteng,139,Transvaal (Pretoria),Pretoria,Mobility - Motor,60058415.0,Passenger Vehicle,2008,TOYOTA,QUANTUM 2.7 SESFIKILE 14s,4.0,2694.0,111.0,B/S,4.0,11/2007,,Yes,No,0,More than 6 months,,,,,,7000.0,Monthly,85.0,No excess,Income Protector,Income Protector,Income Protector,Optional Extended Covers,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,74.561403508771,2192.98245614035,29.411764705882714
54044,5028,2014-11-01,False,  ,Individual,Miss,English,,Current account,Not specified,Not specified,South Africa,Gauteng,1520,Rand East,Rand East,Mobility - Motor,60058418.0,Passenger Vehicle,2012,TOYOTA,QUANTUM 2.7 SESFIKILE 15s,4.0,2694.0,111.0,B/S,4.0,10/2010,241600.0,Yes,Yes,241600,More than 6 months,No,No,No,,,0.01,Monthly,18.0,Mobility - Windscreen,Windscreen,Windscreen,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,15.78947368421,1450.0,91.8333333333364
241455,21206,2015-07-01,False,  ,Individual,Miss,English,,Current account,Not specified,Not specified,South Africa,Gauteng,1863,Transvaal (all except Pretoria),Transvaal South,Mobility - Motor,60058418.0,Passenger Vehicle,2011,TOYOTA,QUANTUM 2.7 SESFIKILE 15s,4.0,2694.0,111.0,B/S,4.0,10/2010,,Yes,Yes,230000,More than 6 months,No,No,No,,,0.01,Monthly,25.0,Mobility - Windscreen,Windscreen,Windscreen,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,21.929824561403,921.052631578947,42.00000000000096
115253,7792,2015-06-01,False,  ,Individual,Miss,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,152,Transvaal (Pretoria),Pretoria,Mobility - Motor,60058419.0,Passenger Vehicle,2013,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,4/2012,,Yes,Yes,271800,More than 6 months,,,,,,271800.0,Monthly,722.8697,Mobility - Taxi with value more than R100 000 - R5 000,Own Damage ,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,634.096228070175,16804.4649122807,26.50144279114204
73206,5879,2015-01-01,False,  ,Individual,Miss,English,Standard Bank,Current account,Not specified,Not specified,South Africa,Gauteng,157,Transvaal (Pretoria),Pretoria,Mobility - Motor,44047276.0,Passenger Vehicle,2013,MERCEDES-BENZ,C200 BE ESTATE CLASSIC,4.0,1796.0,135.0,S/W,4.0,7/2011,,Yes,Yes,0,More than 6 months,,,,,,0.01,Monthly,25.0,Mobility - Windscreen,Windscreen,Windscreen,Comprehensive - Taxi,Motor Comprehensive,Mobility Metered Taxis: Monthly,Commercial,IFRS Constant,21.929824561403,2889.70175438596,131.77040000000284
115248,7792,2015-03-01,False,  ,Individual,Miss,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,152,Transvaal (Pretoria),Pretoria,Mobility - Motor,60058419.0,Passenger Vehicle,2013,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,4/2012,,Yes,Yes,271800,More than 6 months,,,,,,0.01,Monthly,25.0,Mobility - Windscreen,Windscreen,Windscreen,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,21.929824561403,877.19298245614,40.00000000000092
117458,8640,2015-02-01,False,  ,Individual,Miss,English,,Current account,Not specified,Not specified,South Africa,Western Cape,7750,Cape Province (Cape Town),Cape Town,Mobility - Motor,60058407.0,Passenger Vehicle,2012,TOYOTA,QUANTUM 2.5 D-4D SESFIKILE 16s,4.0,2494.0,75.0,B/S,4.0,4/2012,258800.0,Yes,No,258800,More than 6 months,,,,,,258800.0,Monthly,779.7696,Mobility - Taxi with value more than R100 000 - R10 000,Own Damage ,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,684.008421052632,15262.6052631579,22.313475672814118
138380,12071,2015-05-01,False,  ,Individual,Miss,English,Capitec Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,4310,Natal,North Coast,Mobility - Motor,60058415.0,Passenger Vehicle,2008,TOYOTA,QUANTUM 2.7 SESFIKILE 14s,4.0,2694.0,111.0,B/S,4.0,11/2007,,Yes,Yes,135800,More than 6 months,,,,,,135800.0,Monthly,875.3733,Mobility - Taxi with value more than R100 000 - R5 000,Own Damage ,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,767.871315789474,72445.0350877193,94.34528103610192
115246,7792,2015-06-01,False,  ,Individual,Miss,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,152,Transvaal (Pretoria),Pretoria,Mobility - Motor,60058419.0,Passenger Vehicle,2013,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,4/2012,,Yes,Yes,271800,More than 6 months,,,,,,7000.0,Monthly,85.0,No excess,Income Protector,Income Protector,Income Protector,Optional Extended Covers,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,74.561403508771,5263.15789473684,70.5882352941185
54044,5028,2014-10-01,False,  ,Individual,Miss,English,,Current account,Not specified,Not specified,South Africa,Gauteng,1520,Rand East,Rand East,Mobility - Motor,60058418.0,Passenger Vehicle,2012,TOYOTA,QUANTUM 2.7 SESFIKILE 15s,4.0,2694.0,111.0,B/S,4.0,10/2010,241600.0,Yes,Yes,241600,More than 6 months,No,No,No,,,0.01,Monthly,18.0,Mobility - Windscreen,Windscreen,Windscreen,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,15.78947368421,1691.22807017544,107.11111111111478
117458,8640,2015-01-01,False,  ,Individual,Miss,English,,Current account,Not specified,Not specified,South Africa,Western Cape,7750,Cape Province (Cape Town),Cape Town,Mobility - Motor,60058407.0,Passenger Vehicle,2012,TOYOTA,QUANTUM 2.5 D-4D SESFIKILE 16s,4.0,2494.0,75.0,B/S,4.0,4/2012,258800.0,Yes,No,258800,More than 6 months,,,,,,258800.0,Monthly,779.7696,Mobility - Taxi with value more than R100 000 - R10 000,Own Damage ,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,684.008421052632,10282.74561403509,15.03306874235671
132579,9984,2015-06-01,False,  ,Individual,Mr,English,,,Not specified,Not specified,South Africa,Gauteng,152,Transvaal (Pretoria),Pretoria,Mobility - Motor,60058419.0,Passenger Vehicle,2012,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,4/2012,259200.0,Yes,Yes,259200,More than 6 months,,,,,,0.01,Monthly,25.0,Mobility - Windscreen,Windscreen,Windscreen,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,21.929824561403,657.894736842105,30.000000000000686
117455,8640,2015-02-01,False,  ,Individual,Miss,English,,Current account,Not specified,Not specified,South Africa,Western Cape,7750,Cape Province (Cape Town),Cape Town,Mobility - Motor,60058407.0,Passenger Vehicle,2012,TOYOTA,QUANTUM 2.5 D-4D SESFIKILE 16s,4.0,2494.0,75.0,B/S,4.0,4/2012,258800.0,Yes,No,258800,More than 6 months,,,,,,0.01,Monthly,25.0,Mobility - Windscreen,Windscreen,Windscreen,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,21.929824561403,1340.14912280702,61.11080000000153
133998,10800,2015-03-01,False,  ,Individual,Miss,English,First National Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,4449,Natal,North Coast,Mobility - Motor,60058418.0,Passenger Vehicle,2011,TOYOTA,QUANTUM 2.7 SESFIKILE 15s,4.0,2694.0,111.0,B/S,4.0,10/2010,,Yes,Yes,232500,More than 6 months,,,,,,232500.0,Monthly,1089.8086,Mobility - Taxi with value more than R100 000 - R5 000,Own Damage ,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,955.972456140351,34940.9473684211,36.550161193442634
168563,12300,2015-04-01,False,  ,Individual,Mr,English,,,Not specified,Not specified,South Africa,Eastern Cape,6213,"Tembu 2, Cape Mid 2, Cape Mid West, Tembu 1",Cape Mid West,Mobility - Motor,60058418.0,Passenger Vehicle,2011,TOYOTA,QUANTUM 2.7 SESFIKILE 15s,4.0,2694.0,111.0,B/S,4.0,10/2010,,Yes,Yes,231000,More than 6 months,,,,,,0.01,Monthly,25.0,Mobility - Windscreen,Windscreen,Windscreen,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,21.929824561403,1243.85087719298,56.71960000000121
198044,12763,2015-06-01,False,  ,Individual,Mr,English,,,Not specified,Not specified,South Africa,Gauteng,199,Transvaal (Pretoria),Pretoria,Mobility - Motor,60058419.0,Passenger Vehicle,2012,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,4/2012,247700.0,Yes,Yes,247700,More than 6 months,No,No,No,,,0.01,Monthly,25.0,Mobility - Windscreen,Windscreen,Windscreen,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,21.929824561403,657.894736842105,30.000000000000686
236953,20489,2015-05-01,False,  ,Individual,Mr,English,,,Not specified,Not specified,South Africa,Gauteng,122,Transvaal (Pretoria),Pretoria,Mobility - Motor,60058418.0,Passenger Vehicle,2011,TOYOTA,QUANTUM 2.7 SESFIKILE 15s,4.0,2694.0,111.0,B/S,4.0,10/2010,231000.0,Yes,Yes,231000,More than 6 months,No,No,No,,,231000.0,Monthly,969.9545,Mobility - Taxi with value more than R100 000 - R5 000 (April),Own Damage ,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,850.837280701754,8392.2368421053,9.863503906626596
166579,13355,2015-04-01,False,  ,Individual,Mr,English,,,Not specified,Not specified,South Africa,Gauteng,200,Transvaal (all except Pretoria),Bushveld,Mobility - Motor,60058418.0,Passenger Vehicle,2011,TOYOTA,QUANTUM 2.7 SESFIKILE 15s,4.0,2694.0,111.0,B/S,4.0,10/2010,231000.0,Yes,Yes,231000,More than 6 months,,,,,,231000.0,Monthly,921.4568,Mobility - Taxi with value more than R100 000 - R5 000,Own Damage ,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,808.295438596491,34949.94736842104,43.23907534243602
183885,16025,2015-04-01,False,  ,Individual,Mr,English,,,Not specified,Not specified,South Africa,Gauteng,1540,Rand East,Rand East,Mobility - Motor,60058419.0,Passenger Vehicle,2015,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,4/2012,,Yes,Yes,357300,More than 6 months,No,No,No,,,7000.0,Monthly,105.0,No excess,Income Protector (2015),Income Protector,Income Protector,Optional Extended Covers,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,92.105263157894,6140.35087719298,66.66666666666717
212402,17611,2015-06-01,False,  ,Individual,Mr,English,,,Not specified,Not specified,South Africa,Gauteng,183,Transvaal (Pretoria),Pretoria,Mobility - Motor,60058419.0,Passenger Vehicle,2014,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,4/2012,230000.0,Yes,Yes,230000,More than 6 months,No,No,No,,,0.01,Monthly,25.0,Mobility - Windscreen,Windscreen,Windscreen,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,21.929824561403,1361.40350877193,62.080000000001455
213285,16146,2015-05-01,False,  ,Individual,Mr,English,,,Not specified,Not specified,South Africa,Gauteng,122,Transvaal (Pretoria),Pretoria,Mobility - Motor,60058419.0,Passenger Vehicle,2012,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,4/2012,,Yes,Yes,244200,More than 6 months,No,No,No,,,0.01,Monthly,25.0,Mobility - Windscreen (Feb2015),Windscreen (2015),Windscreen,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,21.929824561403,1254.385964912281,57.200000000001346
239801,21002,2015-07-01,False,  ,Individual,Mr,English,,,Not specified,Not specified,South Africa,Gauteng,122,Transvaal (Pretoria),Pretoria,Mobility - Motor,60058407.0,Passenger Vehicle,2015,TOYOTA,QUANTUM 2.5 D-4D SESFIKILE 16s,4.0,2494.0,75.0,B/S,4.0,4/2012,356301.0,Yes,Yes,356301,More than 6 months,No,No,No,,,356301.0,Monthly,1162.5631,Mobility - Taxi with value more than R100 000 - R5 000,Own Damage ,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,1019.79219298246,43614.5877192982,42.76811297382461
183891,16025,2015-04-01,False,  ,Individual,Mr,English,,,Not specified,Not specified,South Africa,Gauteng,1540,Rand East,Rand East,Mobility - Motor,60058419.0,Passenger Vehicle,2015,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,4/2012,,Yes,Yes,357300,More than 6 months,No,No,No,,,357300.0,Monthly,989.4842,Mobility - Taxi with value more than R100 000 - R5 000,Own Damage ,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,867.968596491228,53755.35210526317,61.93236981449529
117458,8640,2015-05-01,False,  ,Individual,Miss,English,,Current account,Not specified,Not specified,South Africa,Western Cape,7750,Cape Province (Cape Town),Cape Town,Mobility - Motor,60058407.0,Passenger Vehicle,2012,TOYOTA,QUANTUM 2.5 D-4D SESFIKILE 16s,4.0,2494.0,75.0,B/S,4.0,4/2012,258800.0,Yes,No,258800,More than 6 months,,,,,,258800.0,Monthly,779.7696,Mobility - Taxi with value more than R100 000 - R10 000,Own Damage ,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,684.008421052632,21400.67,31.287144048703595
149203,13418,2015-07-01,False,  ,Individual,Mr,English,,,Not specified,Not specified,South Africa,Gauteng,1868,Transvaal (all except Pretoria),Transvaal South,Mobility - Motor,60058418.0,Passenger Vehicle,2011,TOYOTA,QUANTUM 2.7 SESFIKILE 15s,4.0,2694.0,111.0,B/S,4.0,10/2010,,Yes,Yes,220000,More than 6 months,,,,,,220000.0,Monthly,781.4974,Mobility - Taxi with value more than R100 000 - R5 000,Own Damage ,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,685.524035087719,43859.649122807,63.97973940796221
198058,12764,2015-07-01,False,  ,Individual,Mr,English,,,Not specified,Not specified,South Africa,Gauteng,199,Transvaal (Pretoria),Pretoria,Mobility - Motor,60058419.0,Passenger Vehicle,2014,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,4/2012,282100.0,Yes,Yes,282100,More than 6 months,No,No,No,,,0.01,Monthly,25.0,Mobility - Windscreen,Windscreen,Windscreen,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,21.929824561403,657.894736842105,30.000000000000686
166632,13358,2015-06-01,False,  ,Individual,Mr,English,,,Not specified,Not specified,South Africa,Gauteng,200,Transvaal (all except Pretoria),Bushveld,Mobility - Motor,60058418.0,Passenger Vehicle,2012,TOYOTA,QUANTUM 2.7 SESFIKILE 15s,4.0,2694.0,111.0,B/S,4.0,10/2010,244200.0,Yes,Yes,244200,More than 6 months,,,,,,244200.0,Monthly,940.7329,Mobility - Taxi with value more than R100 000 - R5 000,Own Damage ,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,825.204298245614,29379.219298245647,35.602358544067116
166660,13357,2015-07-01,False,  ,Individual,Mr,English,,,Not specified,Not specified,South Africa,Gauteng,200,Transvaal (all except Pretoria),Bushveld,Mobility - Motor,60058418.0,Passenger Vehicle,2012,TOYOTA,QUANTUM 2.7 SESFIKILE 15s,4.0,2694.0,111.0,B/S,4.0,10/2010,244200.0,Yes,Yes,244200,More than 6 months,,,,,,244200.0,Monthly,940.7329,Mobility - Taxi with value more than R100 000 - R5 000,Own Damage ,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,825.204298245614,132964.912280702,161.1296894155613
197498,13385,2015-05-01,False,  ,Individual,Mr,English,,,Not specified,Not specified,South Africa,Gauteng,1494,Rand East,Rand East,Mobility - Motor,60058418.0,Passenger Vehicle,2011,TOYOTA,QUANTUM 2.7 SESFIKILE 15s,4.0,2694.0,111.0,B/S,4.0,10/2010,280000.0,Yes,Yes,280000,More than 6 months,No,No,No,,,0.01,Monthly,25.0,Mobility - Windscreen (Feb2015),Windscreen (2015),Windscreen,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,0.0,438.59649122807,
252756,21342,2015-06-01,False,  ,Individual,Mr,English,,,Not specified,Not specified,South Africa,Gauteng,1863,Transvaal (all except Pretoria),Transvaal South,Mobility - Motor,60058407.0,Passenger Vehicle,2014,TOYOTA,QUANTUM 2.5 D-4D SESFIKILE 16s,4.0,2494.0,75.0,B/S,4.0,4/2012,296000.0,Yes,Yes,296000,More than 6 months,No,No,No,,,296000.0,Monthly,1069.8706,Mobility - Taxi with value more than R100 000 - R5 000 (April),Own Damage ,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,938.48298245614,276248.859649123,294.3568128706409
137221,11333,2015-08-01,False,  ,Individual,Mr,English,,,Not specified,Not specified,South Africa,KwaZulu-Natal,3934,Natal,Zululand,Mobility - Motor,60058419.0,Passenger Vehicle,2014,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,4/2012,,Yes,Yes,282100,More than 6 months,,,,,,0.01,Monthly,25.0,Mobility - Windscreen,Windscreen,Windscreen,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,21.929824561403,1631.57894736842,74.40000000000168
241996,21264,2015-06-01,False,  ,Individual,Mr,English,,,Not specified,Not specified,South Africa,KwaZulu-Natal,3780,Natal,Natal 3,Mobility - Motor,60058400.0,Passenger Vehicle,2015,TOYOTA,QUANTUM 2.5 D-4D 14 SEAT,4.0,2494.0,75.0,B/S,4.0,3/2005,375000.0,Yes,Yes,375000,More than 6 months,No,No,No,,,375000.0,Monthly,1308.8553,Mobility - Taxi with value more than R100 000 - R5 000,Own Damage ,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,1148.11868421053,48353.2894736842,42.11523611509982
197470,13384,2015-05-01,False,  ,Individual,Mr,English,,,Not specified,Not specified,South Africa,Gauteng,1494,Rand East,Rand East,Mobility - Motor,60058407.0,Passenger Vehicle,2014,TOYOTA,QUANTUM 2.5 D-4D SESFIKILE 16s,4.0,2494.0,75.0,B/S,4.0,4/2012,296500.0,Yes,Yes,296500,More than 6 months,No,No,No,,,0.01,Monthly,25.0,Mobility - Windscreen (Feb2015),Windscreen (2015),Windscreen,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,21.929824561403,1000.0,45.60000000000106
